"Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
1363,14603,1007,4674,5204,1092,5877,1746,689
1250,13150,1049,4545,5303,918,5359,1611,806
1227,17254,1078,4396,4831,879,6308,1797,774
1141,13920,1044,4141,4972,1134,5935,1631,917
1141,15135,962,5239,4917,781,8168,1569,824
1007,16210,1056,4959,4881,1095,6190,1468,779
1214,14502,1059,4981,4557,857,6971,1718,592
1341,13986,1044,4753,5638,926,7008,1623,701
1234,13635,1079,4789,5024,986,8447,1747,776
1056,12167,969,4036,4871,1015,7163,1781,640
1354,14533,1002,4973,5090,1039,6998,1562,713
1114,13449,1035,4130,5034,1113,6925,1704,702
1332,16497,1100,4403,5421,979,7274,1762,639
1259,15829,1010,5038,5134,996,6178,1924,469
1214,16371,1037,5010,4209,1013,7269,1744,688
1306,16160,1112,5489,4195,711,8846,1577,758
1131,13801,1088,4503,4533,696,7397,1706,600
1200,14183,1000,4564,4760,971,6457,1603,676
1058,13981,1090,4933,4707,1035,6941,1971,732
1340,12582,1067,5803,4455,658,7556,1625,647
1233,15645,1146,4612,4934,1044,7866,1710,826
1202,15445,1031,4889,5538,967,6655,2095,384
1229,15404,963,4676,4775,863,6102,1475,624
1085,13394,1081,4955,4804,1045,7582,1799,811
1205,13185,1052,4911,5493,956,6731,1799,818
1211,13796,978,4246,4934,1067,7164,1512,472
1412,12830,982,4341,4774,1358,7556,1643,747
1234,15403,974,4860,4966,752,6287,1771,719
1203,16770,1021,4849,4330,1165,7434,1843,655
1106,16961,1056,4538,5209,910,6340,1585,636
1428,16278,1073,4830,5163,816,7237,1834,805
1095,14929,1033,4634,5125,1084,7954,1303,591
1269,16050,1057,4602,4707,1135,6695,1789,692
1359,14731,997,4781,5062,963,6611,1560,684
996,13712,1015,3872,4828,998,7237,1652,699
1187,16088,1009,4754,4801,983,5756,1653,873
1291,12957,1058,5279,4576,820,7556,1655,728
1129,15524,991,4515,4774,1005,7459,1749,736
1144,14088,1077,4004,5120,1085,7218,1527,646
1187,14541,1081,4293,4829,1254,6581,1890,692
1410,16860,964,4318,5196,1089,7238,1533,678
1096,15710,1156,4374,5752,945,7463,1808,602
1396,13607,1045,4151,5096,1005,6243,1646,631
1501,14109,1090,4946,4651,1010,6856,1590,906
1281,15489,1109,4949,4595,988,8038,1379,562
1292,14236,1062,4361,4603,1090,6326,1673,598
1469,17506,1064,5000,4599,999,6796,1842,581
1185,15427,979,4890,5574,1109,8043,1852,848
1180,13308,1054,4033,5096,873,7351,1798,636
1010,13415,1137,3965,4827,1060,8265,1483,664
1191,15671,1019,5086,4579,1055,6809,1762,786
1309,14718,1059,4444,4440,824,5596,1609,466
1157,16253,988,5098,4741,672,7825,1782,631
1112,14042,976,5435,5311,1064,8036,1334,845
1330,14005,1008,4574,4542,937,7638,1836,935
1296,13323,1007,5232,5584,842,8087,1713,753
1511,14145,993,3693,5535,868,7820,1599,778
1428,16075,961,4226,4516,823,6999,1889,844
1118,14522,1034,4785,5070,1071,7250,1849,624
1379,14597,963,5883,5867,1098,6483,1534,785
1365,15941,1068,4924,4941,889,6803,1842,749
1051,13712,997,5263,4324,1092,7122,1912,702
1326,14909,1080,4127,4934,962,7090,1724,710
877,16176,1009,4355,5384,1276,8907,1855,645
1344,13857,1102,3874,5423,861,6556,1926,515
1055,15705,1132,3995,4913,695,7574,1710,645
1162,15883,1135,5070,5385,781,5869,1599,724
1355,15541,986,4113,5109,1040,5920,1761,796
1010,15795,1096,4387,4722,995,5782,1712,657
