"simulation","iteration","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
448,2725,0.84662,0.868394,0.865394,0.883159,0.880079
449,4845,0.780787,0.827013,0.839264,0.84532,0.833097
450,4044,0.80196,0.832412,0.853241,0.851956,0.854914
451,4790,0.808665,0.87089,0.857993,0.875441,0.849242
452,8396,0.803286,0.828205,0.838906,0.892837,0.906509
453,2640,0.855073,0.865982,0.86764,0.888527,0.880265
454,5335,0.824047,0.861988,0.861229,0.862607,0.913796
455,1983,0.84373,0.871868,0.870206,0.870397,0.870097
456,5819,0.816842,0.884275,0.864969,0.900776,0.866344
457,2167,0.878983,0.875998,0.880825,0.890145,0.90591
458,1616,0.875746,0.877171,0.872542,0.874897,0.896044
