"Year","Area Unit","Area Group","Wheat","Rice","Maize","Other Cereals","Soybean","Oil Palm","Other Oilseeds","Fibre Crops","Sugar Crops","Roots and Tubers","Fruits","Vegetables"
2010,"Malaysia",NA,0,2464830,47602,0,0,83090935,720718,8166,200700,63128,966957,1083885
2010,"Malta","EU-28",13038,0,0,2131,0,0,14,0,0,15541,9930,82001
2010,"Mexico",NA,3676707,216676,23301879,7729938,167665,438172,1389156,485157,50422345,1800427,15460461,12674231
2010,"Morocco",NA,4876140,50520,279150,2628669,1000,0,1617894,1820,3068190,1615519,3277000,5399820
2010,"Netherlands","EU-28",1369553,0,196903,236697,0,0,13598,16519,5280433,6843529,667920,4789233
2010,"New Zealand",NA,444890,0,188812,367594,0,0,5094,3534,0,539251,1290002,911317
2010,"Pakistan",NA,23310800,7234950,3706910,558598,51,0,1063139,5614302,49426236,3613449,6369012,5318476
2010,"Philippines",NA,0,15772319,6376796,254,812,565460,15550643,72221,17929269,2915523,19258019,6081307
2010,"Poland","EU-28",9408110,0,1994391,15825597,249,0,2281052,265,9972598,8448180,2789440,5113402
2010,"Portugal","EU-28",82577,170216,626222,140189,0,0,476078,0,9263,408283,1748994,2807249
2010,"Rest of Africa",NA,7859831,21185173,46091507,49454357,994107,17663865,19974437,3075907,58695468,236024662,67115545,45434330
2010,"Rest of East Asia",NA,730752,53182885,5170562,799439,878435,160000,3848810,576528,11146213,9828500,9874778,22913315
2010,"Rest of Eastern Europe and Central Asia",NA,15209828,505395,2769352,2916340,225664,0,1194401,1948966,1640622,6847851,3416308,10429046
2010,"Rest of Latin America",NA,3732767,12691452,15245978,2248808,11179871,11834591,2460401,396035,138362679,20577733,45628261,14348239
2010,"Rest of North America",NA,0,0,0,0,0,0,0,0,0,0,0,44
2010,"Rest of Oceania",NA,0,11240,16195,4140,0,2041000,2903176,406,2088147,2142186,2301371,618303
2010,"Rest of South Asia",NA,1561412,8396080,2074644,353378,29963,0,2336710,21484,3520996,3125292,2224596,3834605
2010,"Rest of Western and Central Europe",NA,3170216,25700,8699760,1879956,553141,0,593549,741,4676359,2461990,3002315,4319572
2010,"Rest of Western Asia",NA,12216074,827829,1030797,3265073,3173,0,1712239,594037,1570271,2935978,10226241,16434778
2010,"Romania","EU-28",5811810,61588,9042032,1797453,149940,0,2216357,3915,837895,3283866,2136719,3876734
2010,"Russia",NA,41507581,1060658,3084351,13966484,1222371,0,6239575,87572,22255939,21140539,2463670,13283371
2010,"Slovakia","EU-28",1185286,0,921313,447777,24045,0,477405,111,977694,125921,109661,270073
2010,"Slovenia","EU-28",153481,0,311117,108024,290,0,17893,0,0,113149,250281,58966
2010,"South Africa",NA,1430000,3064,12815000,452868,566000,0,633804,25596,16015649,2155994,5967151,2695917
2010,"Spain","EU-28",5941197,927817,3324821,9686178,1812,0,8131584,115110,3534737,2355659,16205610,12716234
2010,"Sweden","EU-28",2143000,0,0,2136500,0,0,299800,0,1973700,816300,38741,296092
2010,"Thailand",NA,1107,35702946,4860746,324515,158833,8227238,1430356,119132,68807800,22456685,9867399,3833422
2010,"Turkey",NA,19674000,860000,4310000,7920875,86540,0,3025140,2150013,17942112,4549256,13934439,25950648
2010,"UK","EU-28",14877835,0,0,6068310,0,0,2302042,16211,6527489,6056000,429143,2679389
2010,"Ukraine",NA,16851300,148000,11953000,9733687,1680200,0,8363180,1393,13749000,18705000,2067790,8936820
2010,"USA",NA,60062408,11027010,315617920,14418992,90663290,0,4774760,9473800,53881330,19433396,26227760,37652992
