"Scenario","China (export)","Maaden","Mosaic","OCP","PhosAgro/EuroChem"
"Business As Usual",3684,1083,4675,1573,3106
"Business As Usual",3614,1939,4238,1911,2587
"Business As Usual",3500,342,3814,1870,2652
"Business As Usual",4091,1027,3778,1594,2326
"Business As Usual",3603,1354,4695,1598,2963
"Business As Usual",3713,2051,4130,1742,2349
"Business As Usual",2971,1556,4629,1088,2939
"Business As Usual",3748,666,4251,2543,2990
"Business As Usual",3506,1406,4434,1762,2919
"Business As Usual",3244,1268,4164,2276,2336
"Business As Usual",2572,1172,3022,1734,2324
"Business As Usual",3999,1192,3457,2142,2648
"Business As Usual",3970,1021,4156,1691,2013
"Business As Usual",3717,909,4223,2027,2800
"Business As Usual",4094,1404,3849,2111,2676
"Business As Usual",3459,1324,3583,1284,2390
"Business As Usual",3653,784,4310,1759,2547
"Business As Usual",4337,1351,5114,2012,3256
"Business As Usual",3508,898,4116,1970,3324
"Business As Usual",4333,1562,3470,2037,3730
"Business As Usual",3387,1294,4198,2582,2533
"Business As Usual",3984,2173,4198,2551,3653
"Business As Usual",3243,1188,4076,1770,3041
"Business As Usual",3455,860,4104,1694,2531
"Business As Usual",4504,1090,3686,1082,2875
"Business As Usual",4385,1286,3418,1674,2460
"Business As Usual",3629,1019,4110,1734,3066
"Business As Usual",3653,623,3467,1907,2637
"Business As Usual",4270,1073,3907,2212,2296
"Business As Usual",3583,1024,3718,1802,2473
"Business As Usual",4602,1349,5097,1768,2557
"Business As Usual",3339,1109,3951,2197,2208
"Business As Usual",3436,1090,4898,1954,2961
"Business As Usual",3623,1117,4395,2250,2495
"Business As Usual",3597,1361,4145,1323,3366
"Business As Usual",4550,1466,3797,1750,2212
"Business As Usual",3865,1375,4231,1802,2372
"Business As Usual",3846,1332,5040,2005,2859
"Business As Usual",3758,443,4218,1536,2686
"Business As Usual",3203,1837,4373,1715,3279
"Business As Usual",4174,1444,4491,2097,3404
"Business As Usual",4334,1376,4349,1739,2706
"Business As Usual",3440,1441,4310,2121,3081
"Business As Usual",3871,1408,4338,1456,2614
"Business As Usual",3122,1454,4327,1734,2598
"Business As Usual",3892,1087,4171,1306,2574
"Business As Usual",3848,1452,4369,1103,2363
"Business As Usual",3865,1369,4535,2312,2581
"Business As Usual",3833,1604,4354,2145,3298
"Business As Usual",3525,1129,3868,2002,2435
"Business As Usual",3959,1290,4312,1964,2586
"Business As Usual",3681,1278,4915,1806,2814
"Business As Usual",3667,1054,3378,1266,2825
"Business As Usual",4524,2153,4517,1895,2043
"Business As Usual",3228,869,3934,1696,2336
"Business As Usual",3400,1445,4650,2649,2718
"Business As Usual",3573,1304,3931,1371,3393
"Business As Usual",3994,282,5365,2002,3707
"Business As Usual",3876,1168,4680,1097,2610
"Business As Usual",3851,679,4364,1935,2912
"Business As Usual",3536,1314,4257,1940,2693
"Business As Usual",3891,446,4099,1994,2511
"Business As Usual",4655,1860,4118,1645,2716
"Business As Usual",3781,1259,4310,1739,2664
